,國文,英文,數學,社會,自然
0,6,14,8,8,11
1,7,15,12,12,12
2,6,8,15,8,6
3,14,11,14,8,8
4,7,10,9,11,6
5,9,11,11,12,10
6,9,12,10,13,11
7,13,12,11,6,13
8,9,13,12,8,12
9,15,11,12,13,11
10,11,13,8,11,15
11,12,9,8,6,9
12,7,13,8,13,10
13,12,8,8,9,7
14,8,8,12,7,6
15,9,9,8,11,11
16,15,7,14,14,8
17,15,11,9,14,13
18,9,9,10,11,9
19,15,6,6,13,6
20,10,12,10,12,15
21,14,6,15,13,9
22,11,11,7,6,10
23,10,14,14,14,7
24,13,15,13,14,15
25,13,8,6,6,15
26,10,7,8,8,10
27,14,7,6,14,12
28,12,13,9,13,8
29,12,15,11,14,8
30,9,6,9,8,7
31,12,11,8,15,13
32,12,14,7,12,12
33,6,12,14,14,15
34,8,9,15,14,11
35,13,12,10,11,15
36,6,9,12,14,10
37,6,9,9,10,15
38,8,7,13,9,8
39,10,14,6,9,13
40,11,13,9,11,13
41,6,14,8,13,8
42,14,7,8,11,10
43,12,8,8,12,12
44,12,13,8,10,15
45,7,12,15,14,11
46,11,8,11,15,10
47,12,13,7,7,12
48,13,10,8,6,7
49,12,13,7,10,15
50,14,6,15,7,12
51,6,11,6,14,13
52,11,7,7,13,9
53,8,8,8,6,9
54,7,6,6,12,14
55,8,9,10,9,10
56,11,6,13,12,13
57,9,12,14,6,15
58,10,12,12,12,9
59,14,12,10,12,13
60,11,9,7,8,12
61,11,7,14,8,15
62,6,7,15,9,13
63,8,6,13,9,15
64,10,12,13,9,9
65,10,13,11,6,9
66,14,7,15,15,9
67,8,12,14,13,14
68,15,7,6,9,12
69,15,11,12,6,10
70,7,10,8,7,8
71,8,13,10,6,9
72,13,6,9,8,15
73,13,12,15,9,13
74,14,12,9,11,11
75,15,15,7,10,10
76,15,8,13,11,10
77,15,12,6,12,6
78,11,9,9,15,12
79,8,15,11,12,12
80,15,10,14,8,11
81,9,6,11,10,7
82,13,13,7,14,12
83,15,10,6,7,14
84,7,13,10,11,6
85,7,8,9,13,14
86,14,6,11,14,10
87,9,8,10,6,9
88,11,9,11,12,15
89,8,8,14,9,8
90,10,15,14,7,15
91,8,15,12,14,10
92,15,7,12,8,11
93,15,9,14,13,14
94,6,14,13,14,6
95,12,7,6,12,7
96,9,15,13,8,15
97,13,13,13,7,9
98,9,11,8,8,10
99,13,15,15,6,7
